subgroup_id,subgroup_name
1,更多生活品味
2,護膚保養與化妝
3,平面設計
4,繪畫與插畫
5,電腦繪圖
6,應用設計
7,求職
8,英文
9,手作小物
10,DJ
11,更多音樂
12,更多藝術
13,烹飪料理與甜點
14,壓力舒緩
15,運動
16,親子教育
17,手工印刷
18,手工書
19,動態攝影
20,素描
21,樂器
22,色彩學
23,字體設計
24,手寫字
25,動態設計
26,音樂理論
27,刺繡
28,日文
29,心靈成長與教育
30,音樂創作
31,氣球
32,程式入門
33,程式語言
34,網頁前端
35,文書處理
36,角色設計
37,資料彙整
38,介面設計
39,網頁設計
40,商業攝影
41,網站架設
42,更多程式
43,程式思維
44,手機程式開發
45,韓文
46,更多手作
47,更多語言
48,歐洲語言
49,人聲
50,個人品牌經營
51,更多職場技能
52,網頁後端
53,後製剪輯
54,產品設計
55,靈性發展
56,影視創作
57,資料科學
58,軟體程式開發與維護
59,職場溝通
60,表演藝術
61,創業
62,文學
63,區塊鏈
64,金融商品
65,文案
66,數位行銷
67,設計理論
68,AI 人工智慧
69,投資觀念
70,理財
71,社會科學
72,社群行銷
73,影像創作
74,遊戲開發
75,程式理財
76,量化交易
77,更多設計
78,獨立接案
79,寵物
80,資訊安全
81,量化分析
82,數學
83,效率提升
84,居家
85,更多人文
86,攝影理論
87,數據分析
88,翻譯
89,模型
90,更多攝影
91,更多行銷
