user_id,subgroup
5bdecbfffec014002166796a,27
5fedf958af850a915c86362c,1 7 19 29 36 49 50 51 59 61 63 64 66 69 72
5fd255c43136a460c6f3f930,8 28
5a0bde2aa15b3f001e98429a,1 59 60 71 79
5fedf8132a0eb0bfab27882b,89
5f5d9e4920a34fbd95fdbd23,59 71
5b8e7ed6de22ba001ee7acfb,5 6 7 25 55 59 62 71 77 85
5bb0de3cc3964c001eec52a7,1 4 7 8 19 29 33 34 36 37 38 39 50 51 54 55 56 57 58 59 60 61 64 66 67 68 69 71 72 83 84 85
5fe42590e810e1085785e967,8 59
5fee0188af850aeca8864127,3 6 7 23
5ecd1a1c26ed1a9adb56bb2c,8 59 71
5f648b392c90b1cc4b59e889,59 71
5fb3d9e7c912735f77c1204d,59 71
5b4a3511df9c8d001ed2c402,59
59c91b06cecf8d001e687579,4
5df22d64a5ee510022a0516f,7 35 37 51 57 59 68 81
5fee0949af850a86c6864c30,35 57
5a8fb7d944a1e4001eee4afd,59 71
5f58d8994ea18e18f28fbda6,7 35 37 40 53 57 59 71 73 79
58f0f5b94909c907004abd94,1 3 6 7 23 29 36 37 50 51 52 57 59 61 66 71 72
5fe9edae6ea6b65d6d85e1bd,35 57
54fc83874c443209007ab271,59 71
59f5295fe8c1dd001e90a7e4,64 69
5efd80c26fd4cc66d6d2aa47,79
59f8c9a3e8c1dd001e90cf9d,1 7 29 36 37 50 51 55 59 60 61 64 66 69 71 72 79 83 85
5fc07d6a18ab694734e34f9c,36 59 71
5be2dd9d870dcd00200bdce9,1 60
5fee2d66af850a32d7867ec0,8
5714dc23234ded0a00a40f61,7 55 64 84
5c8667321a21560020ec73ad,1 7 59 60 71
5fe2ebb5332acc5303a7595d,63 64
5f14ab06cad0d0f048ea33d8,1 7 8 29 36 50 51 59 61 66 72
5876585358ab57070085be60,59
5edc6cd859a68e9996bacfd1,59 71
5f90c2e770a38a179334eb86,3 5
5d71e9b445639e00212adf0c,59 71
5fee6fdd2a0eb097ac281918,8
5734424ffad4ef0a006b3883,1 3 6 7 8 23 29 30 36 40 50 51 54 59 60 61 66 71 72 79
57e8d32ca69c240700069e05,59 71 78
5c23826c49b19c002047d8db,1 3 6 7 21 23 27 29 36 37 40 50 51 59 61 66 71 72 83 85
5fee6f7e2a0eb0508f2818e2,75 76
5fe7e409c9ab00264476e514,1 7 8 29 35 36 50 51 59 61 66 71 72
5fee737faf850a511a86c00a,3 6 23 59 71
5fa0d545eed57005c666b5f6,32 33 57 63 64 75 76
5d2d26529cf9ea0021ea2c50,1 7 28 37 59 60 64 69 71 79 85
5ec28c95799dc4f90312d2bc,4
5bd28cc0669f6d001e39d5c3,59 71
5d56a0fa1bbe430021f1961f,1 14 29 40 55 59 60 71 79
