user_id,subgroup
54dca4456d7d350900e86c12,3 5 25 77
54ef35b0b839040f000160fd,27
54ef3affb839040f00016154,7 19 40 59 71
54ef41f4b839040f0001619e,25 34 38 39 51 52 54 57 59 66 77
54ef43f6b839040f000161b5,3 6 23
54ef45b4b839040f000161c3,51 59 71
54ef48c5b839040f000161d5,5 64 69
54ef48c5b839040f00016239,5 64 69
54ef48c5b839040f0001629d,5 64 69
54ef4f41b839040f000161f2,4 33 34 36 38 39 40
54ef4f41b839040f00016256,4 33 34 36 38 39 40
54ef4f41b839040f000162ba,4 33 34 36 38 39 40
54ef4f41b839040f0001631e,4 33 34 36 38 39 40
54ef4f41b839040f00016382,4 33 34 36 38 39 40
54ef4f41b839040f000163e6,4 33 34 36 38 39 40
54ef4f41b839040f0001644a,4 33 34 36 38 39 40
54ef4f41b839040f000164ae,4 33 34 36 38 39 40
54ef4f41b839040f00016512,4 33 34 36 38 39 40
54ef4f41b839040f00016576,4 33 34 36 38 39 40
54ef4f41b839040f000165da,4 33 34 36 38 39 40
54ef4f41b839040f0001663e,4 33 34 36 38 39 40
54ef4f41b839040f000166a2,4 33 34 36 38 39 40
54ef4f41b839040f00016706,4 33 34 36 38 39 40
54ef4f41b839040f0001676a,4 33 34 36 38 39 40
54ef5fb5b839040f0001620a,7 40
54efeb21b839040f0001623f,1 3 6 7 29 36 50 51 61 66 72
54f007bc5637380a00a49f71,51
54f0121f5637380a00a49f79,8 59
54f016b35637380a00a49f7f,3 6 7 23 34 38 39
54f04f0e5637380a00a49f98,1 7 29 36 37 50 51 61 66 72 83 85
54f17a424ec3c809002e4ab5,34 38 39 40 59 66 69 71
54f18cee4ec3c809002e4ab8,3 6 23 34 38 39 51 58 59
54f18cee4ec3c809002e4b1c,3 6 23 34 38 39 51 58 59
54f18cee4ec3c809002e4b80,3 6 23 34 38 39 51 58 59
54f1c60d4ec3c809002e4ac1,3 4 6 7 23
54f1c60d4ec3c809002e4b25,3 4 6 7 23
54f1c60d4ec3c809002e4b89,3 4 6 7 23
54f1c60d4ec3c809002e4bed,3 4 6 7 23
54f1c60d4ec3c809002e4c51,3 4 6 7 23
54f1c60d4ec3c809002e4cb5,3 4 6 7 23
54f1c60d4ec3c809002e4d19,3 4 6 7 23
54f3d2ee4ec3c809002e4b56,1 7 29 36 50 51 61 66 72
54f3ffe54ec3c809002e4b6a,3 6 23 34 38 39 40 51
54f402584ec3c809002e4b6d,40
54f498364ec3c809002e4baf,1 7 8 29 36 50 51 61 66 72
54f5e144e977de0a00d46a83,37 83
54f828d5d813970c00a7b388,51 59 71
54f9fbc0bc32250900762878,34 38 39 67
54fc83874c443209007ab2d5,59 71
54fd9f0db27eaa0b0024ee1e,8
550165450a45270d004ca6df,59
5506b1ce0b31f20900772ca7,4 23 24
